id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"Directions (1-5): The bar chart shows the production of rice (in million tonnes) in a country for 5 consecutive years. Data: (Y1: 50), (Y2: 60), (Y3: 75), (Y4: 70), (Y5: 80). --- In which year was the production of rice the highest?","Y2","Y3","Y4","Y5","d","Very easy","Bar Chart"
2,"Directions (1-5): Refer to the chart from Question 1. --- What was the percentage increase in production from Year 1 to Year 3?","40%","50%","60%","70%","b","Easy","Bar Chart"
3,"Directions (1-5): Refer to the chart from Question 1. --- The average production over the 5 years is how much?","65 million tonnes","67 million tonnes","68 million tonnes","70 million tonnes","b","Easy","Bar Chart"
4,"Directions (1-5): Refer to the chart from Question 1. --- In how many years was the production above the average production?","1","2","3","4","c","Moderate","Bar Chart"
5,"Directions (1-5): Refer to the chart from Question 1. --- The production in Year 2 is what percentage of the production in Year 5?","60%","70%","75%","80%","c","Easy","Bar Chart"
6,"Directions (6-10): The bar chart shows the number of students enrolled in three different courses (A, B, C) in a college in 2020. Data: (A: 400), (B: 600), (C: 500). --- What is the total number of students enrolled in all three courses?","1200","1300","1400","1500","d","Very easy","Bar Chart"
7,"Directions (6-10): Refer to the chart from Question 6. --- What is the ratio of the number of students in course A to course B?","2:3","3:2","4:5","5:4","a","Easy","Bar Chart"
8,"Directions (6-10): Refer to the chart from Question 6. --- The number of students in course C is what percentage of the total number of students?","30%","33.33%","35%","37.5%","b","Moderate","Bar Chart"
9,"Directions (6-10): Refer to the chart from Question 6. --- How many more students are in course B than in course A?","100","150","200","250","c","Very easy","Bar Chart"
10,"Directions (6-10): Refer to the chart from Question 6. --- If the number of students in course A increases by 10% in 2021, what will be the new number of students in course A?","410","420","430","440","d","Easy","Bar Chart"
11,"Directions (11-15): The bar chart shows the monthly expenditure (in Rs. thousands) of a family on five different items. Data: (Rent: 15), (Food: 12), (Education: 8), (Travel: 5), (Misc: 10). --- On which item is the expenditure the highest?","Rent","Food","Education","Misc","a","Very easy","Bar Chart"
