id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"Directions (1-5): The pie chart shows the percentage distribution of students in various streams in a college. Total students = 1200. Data: (Arts: 30%), (Science: 25%), (Commerce: 35%), (Law: 10%). --- How many students are in the Science stream?","250","300","350","400","b","Very easy","Pie Chart"
2,"Directions (1-5): Refer to the chart from Question 1. --- What is the central angle corresponding to the Arts stream?","90°","100°","108°","112°","c","Easy","Pie Chart"
3,"Directions (1-5): Refer to the chart from Question 1. --- What is the ratio of the number of students in Commerce to the number of students in Law?","7:2","5:2","3:1","4:1","a","Easy","Pie Chart"
4,"Directions (1-5): Refer to the chart from Question 1. --- The number of students in the Arts stream is how many more than the number of students in the Science stream?","40","50","60","70","c","Easy","Pie Chart"
5,"Directions (1-5): Refer to the chart from Question 1. --- If 20% of the Science students are girls, how many boys are there in the Science stream?","200","220","240","260","c","Moderate","Pie Chart"
6,"Directions (6-10): The pie chart shows the percentage of money spent by a family on various items in a month. Total monthly income = Rs. 45,000. Data: (Food: 30%), (Rent: 20%), (Education: 15%), (Savings: 15%), (Others: 20%). --- What is the amount spent on Rent?","Rs. 8000","Rs. 9000","Rs. 10000","Rs. 11000","b","Very easy","Pie Chart"
7,"Directions (6-10): Refer to the chart from Question 6. --- How much more is spent on Food than on Education?","Rs. 6250","Rs. 6500","Rs. 6750","Rs. 7000","c","Easy","Pie Chart"
8,"Directions (6-10): Refer to the chart from Question 6. --- The total amount spent on Rent and 'Others' is what percentage of the total income?","35%","40%","45%","50%","b","Easy","Pie Chart"
9,"Directions (6-10): Refer to the chart from Question 6. --- What is the central angle for the Savings sector?","48°","50°","52°","54°","d","Moderate","Pie Chart"
10,"Directions (6-10): Refer to the chart from Question 6. --- If the income increases to Rs. 50,000 and the percentage expenditure on Food increases to 35%, what is the new amount spent on Food?","Rs. 16,500","Rs. 17,000","Rs. 17,500","Rs. 18,000","c","Moderate","Pie Chart"
11,"Directions (11-15): Two pie charts show the distribution of 4500 students in a university by stream (Chart 1) and the distribution of girls within those streams (Chart 2). Data 1: (CS: 20%), (Mech: 25%), (Elec: 30%), (Civil: 25%). Data 2: Total Girls=2000, (CS: 25%), (Mech: 20%), (Elec: 40%), (Civil: 15%). --- What is the total number of students in the Mechanical stream?","1000","1125","1200","1250","b","Easy","Pie Chart"
12,"Directions (11-15): Refer to the charts from Question 11. --- What is the number of boys in the Electrical stream?","550","600","650","700","a","Moderate","Pie Chart"
13,"Directions (11-15): Refer to the charts from Question 11. --- What is the ratio of boys in CS to girls in Civil?","4:3","5:3","3:2","2:1","b","Difficult","Pie Chart"
