id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"Statements: All cats are dogs. All dogs are monkeys. Conclusions: I. All cats are monkeys. II. All monkeys are cats.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","a","Easy","Syllogism"
2,"Statements: No door is a dog. All dogs are cats. Conclusions: I. No door is a cat. II. Some cats are dogs.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","b","Easy","Syllogism"
3,"Statements: All pens are pencils. Some pencils are erasers. Conclusions: I. Some pens are erasers. II. No pen is an eraser.","Only I follows","Only II follows","Either I or II follows","Neither I nor II follows","c","Moderate","Syllogism"
4,"Statements: Some actors are singers. All singers are dancers. Conclusions: I. Some actors are dancers. II. No singer is an actor.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","a","Easy","Syllogism"
5,"Statements: All men are married. Some men are educated. Conclusions: I. Some married are educated. II. Some educated are married.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","c","Easy","Syllogism"
6,"Statements: All trucks fly. Some scooters fly. Conclusions: I. All trucks are scooters. II. Some scooters do not fly.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","d","Moderate","Syllogism"
7,"Statements: All crows are birds. All peacocks are crows. Conclusions: I. All peacocks are birds. II. All birds are peacocks.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","a","Easy","Syllogism"
8,"Statements: Some papers are pens. All pencils are pens. Conclusions: I. Some pens are pencils. II. Some pens are papers.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","c","Moderate","Syllogism"
9,"Statements: Some files are rats. All animals are rats. Conclusions: I. Some files are animals. II. No file is an animal.","Only I follows","Only II follows","Either I or II follows","Neither I nor II follows","c","Moderate","Syllogism"
10,"Statements: All buildings are houses. No house is an apartment. Conclusions: I. No building is an apartment. II. All houses are buildings.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","a","Moderate","Syllogism"
11,"Statements: All fish are tortoises. No tortoise is a crocodile. Conclusions: I. No crocodile is a fish. II. No fish is a crocodile.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","c","Moderate","Syllogism"
12,"Statements: Some tables are chairs. All chairs are benches. Conclusions: I. Some tables are benches. II. Some benches are chairs.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","c","Easy","Syllogism"
13,"Statements: No gentleman is poor. All gentlemen are rich. Conclusions: I. No poor man is rich. II. No rich man is poor.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","d","Difficult","Syllogism"
14,"Statements: Some kings are queens. All queens are beautiful. Conclusions: I. All kings are beautiful. II. All queens are kings.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","d","Moderate","Syllogism"
15,"Statements: Only a few A are B. No B is C. Conclusions: I. Some A are not C. II. All A being C is a possibility.","Only I follows","Only II follows","Both I and II follow","Neither I nor II follows","a","Difficult","Syllogism"
