id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"Find the part of the given sentence that has an error. If there is no error, choose 'No error'. 'The number of guests (A)/ invited to the party (B)/ are five hundred. (C)/ No error (D)'","A","B","C","D","c","Easy","Grammar"
2,"Improve the bracketed part of the sentence. He (did not wrote) the letter.","did not write","has not wrote","had not written","No improvement","a","Very easy","Grammar"
3,"Fill in the blank with the correct article: He is ______ honorable man.","a","an","the","No article needed","b","Very easy","Grammar"
4,"Choose the correct form of the verb: The earth ______ around the sun.","move","moves","moved","is moving","b","Very easy","Grammar"
5,"Find the error: 'My sister's-in-law (A)/ who lives in Kolkata (B)/ has come to stay with us. (C)/ No error (D)'","A","B","C","D","a","Moderate","Grammar"
6,"Improve the sentence: 'She is more taller than her sister.'","much taller than","very taller than","as taller as","No improvement","a","Easy","Grammar"
7,"Fill in the blank with a suitable preposition: 'He is afraid ______ the dog.'","from","with","of","to","c","Very easy","Grammar"
8,"Find the error: 'Each of the students (A)/ have submitted (B)/ their assignment. (C)/ No error (D)'","A","B","C","D","b","Easy","Grammar"
9,"Choose the correct sentence.","He is one of the best player in the team.","He is one of the best players in the team.","He is one of best players in the team.","He is one of the best player of the team.","b","Easy","Grammar"
10,"Improve the sentence: 'Neither of the two boys (were) present.'","was","are","has been","No improvement","a","Easy","Grammar"
11,"Fill in the blank: 'I prefer tea ______ coffee.'","than","over","to","from","c","Easy","Grammar"
12,"Find the error: 'The furnitures in this shop (A)/ is very expensive (B)/ and of high quality. (C)/ No error (D)'","A","B","C","D","a","Moderate","Grammar"
13,"Improve the sentence: 'If I was you, I would not accept this offer.'","If I were you","If I am you","If I had been you","No improvement","a","Moderate","Grammar"
14,"Fill in the blank: 'The meeting was put ______ until next Friday.'","off","up","on","away","a","Easy","Grammar"
15,"Choose the correct question tag: 'She is a doctor, ______?'","is she","isn't she","wasn't she","is it","b","Easy","Grammar"
16,"Find the error: 'The sceneries of Kashmir (A)/ are very (B)/ charming. (C)/ No error (D)'","A","B","C","D","a","Moderate","Grammar"
17,"Improve the sentence: 'He is junior than me by two years.'","junior to me","junior of me","junior from me","No improvement","a","Easy","Grammar"
18,"Fill in the blank: 'Distribute the sweets ______ the two children.'","among","between","within","amidst","b","Easy","Grammar"
19,"Find the error: 'I, you and he (A)/ must attend (B)/ the seminar. (C)/ No error (D)'","A","B","C","D","a","Moderate","Grammar"
20,"Improve the sentence: 'He has been working here since three years.'","for three years","from three years","by three years","No improvement","a","Easy","Grammar"
21,"Fill in the blank: 'He is not eligible ______ this post.'","to","with","for","on","c","Easy","Grammar"
