id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
1,"Directions (1-10): Passage 1: The Industrial Revolution, which began in Britain in the late 18th century, was a period of profound technological and social change. Innovations like the steam engine, the spinning jenny, and the power loom transformed textile production and manufacturing. This led to the rise of the factory system and mass urbanization, as people moved from rural areas to cities in search of work. While it brought unprecedented economic growth and new opportunities, it also created significant social problems, including poor working conditions, child labor, and overcrowded, unsanitary cities. The era reshaped Western societies, laying the groundwork for the modern industrial world and sparking debates about capitalism, labor, and social welfare that continue to this day. --- What is the main subject of the passage?","The social problems of 18th century Britain","The inventions of the Industrial Revolution","The causes and effects of the Industrial Revolution","The history of the textile industry","c","Easy","Reading Comprehension"
2,"Directions (1-10): Refer to Passage 1. --- Which of the following is mentioned as an invention of this era?","The printing press","The steam engine","The telegraph","The automobile","b","Easy","Reading Comprehension"
3,"Directions (1-10): Refer to Passage 1. --- The term 'mass urbanization' refers to:","The decline of city populations","A large-scale movement of people to cities","The improvement of rural living conditions","A government program for city planning","b","Easy","Reading Comprehension"
4,"Directions (1-10): Refer to Passage 1. --- According to the passage, the Industrial Revolution led to:","A decrease in economic growth","The decline of the factory system","Improved working conditions for all","Significant social problems","d","Easy","Reading Comprehension"
5,"Directions (1-10): Refer to Passage 1. --- The passage suggests that the consequences of the Industrial Revolution:","Were entirely positive","Were quickly resolved","Are still relevant in modern discussions","Only affected Great Britain","c","Moderate","Reading Comprehension"
6,"Directions (1-10): Refer to Passage 1. --- The word 'profound' in the first sentence most nearly means:","Superficial","Intense and far-reaching","Negative","Temporary","b","Moderate","Reading Comprehension"
7,"Directions (1-10): Refer to Passage 1. --- What can be inferred about life before the Industrial Revolution?","It was primarily urban and factory-based","Technology was more advanced","Most people lived and worked in rural areas","There were no social problems","c","Moderate","Reading Comprehension"
8,"Directions (1-10): Refer to Passage 1. --- The primary purpose of the passage is to:","Argue against industrialization","Provide a brief overview of the Industrial Revolution","Describe the lives of factory workers","Celebrate the inventors of the era","b","Easy","Reading Comprehension"
9,"Directions (1-10): Refer to Passage 1. --- All of the following are mentioned as negative effects of the era EXCEPT:","Child labor","Poor working conditions","Famine in rural areas","Unsanitary cities","c","Difficult","Reading Comprehension"
10,"Directions (1-10): Refer to Passage 1. --- The overall tone of the passage is:","Nostalgic and sentimental","Biased and critical","Objective and informative","Sarcastic and dismissive","c","Moderate","Reading Comprehension"
11,"Directions (11-20): Passage 2: Photosynthesis is the process used by plants, algae, and certain bacteria to convert light energy into chemical energy, through a process that converts carbon dioxide and water into sugars (glucose) and oxygen. This process is crucial for life on Earth as it produces most of the oxygen in our atmosphere and supplies the chemical energy for most ecosystems. The entire process takes place within specialized cell organelles called chloroplasts. Chlorophyll, the green pigment in plants, is instrumental in capturing light energy. The rate of photosynthesis is affected by several factors, including light intensity, carbon dioxide concentration, and temperature. It is a cornerstone of ecological science, demonstrating the intricate link between the planet's biotic and abiotic components. --- The primary purpose of this passage is to:","Explain the importance of oxygen","Describe the structure of a plant cell","Provide a summary of the process of photosynthesis","Discuss the factors affecting plant growth","c","Easy","Reading Comprehension"
12,"Directions (11-20): Refer to Passage 2. --- What are the main inputs for photosynthesis?","Oxygen and sugar","Light energy, oxygen, and water","Sunlight, chlorophyll, and soil","Light energy, carbon dioxide, and water","d","Easy","Reading Comprehension"
13,"Directions (11-20): Refer to Passage 2. --- Where does photosynthesis occur in a plant cell?","In the nucleus","In the mitochondria","In the chloroplasts","In the cell wall","c","Easy","Reading Comprehension"
14,"Directions (11-20): Refer to Passage 2. --- What is the role of chlorophyll?","To absorb water from the soil","To capture light energy","To produce carbon dioxide","To store glucose","b","Easy","Reading Comprehension"
15,"Directions (11-20): Refer to Passage 2. --- Which of the following is NOT listed as a factor affecting the rate of photosynthesis?","Light intensity","Water availability","Temperature","Carbon dioxide concentration","b","Moderate","Reading Comprehension"
16,"Directions (11-20): Refer to Passage 2. --- The passage emphasizes that photosynthesis is 'crucial for life on Earth' because:","It produces carbon dioxide for animals","It creates sugars that all organisms consume directly","It is the primary source of atmospheric oxygen","It helps regulate the Earth's temperature","c","Moderate","Reading Comprehension"
17,"Directions (11-20): Refer to Passage 2. --- The word 'instrumental' in the passage means:","Related to a musical instrument","Essential or very important","A type of tool","Difficult to understand","b","Moderate","Reading Comprehension"
18,"Directions (11-20): Refer to Passage 2. --- What can be inferred from the passage?","Only green plants can perform photosynthesis","Photosynthesis is a simple, one-step process","The Earth's atmosphere has always had high levels of oxygen","There is a fundamental dependency of animal life on plant life","d","Difficult","Reading Comprehension"
19,"Directions (11-20): Refer to Passage 2. --- The term 'abiotic components' refers to:","Living organisms in an ecosystem","Non-living chemical and physical parts of the environment","The waste products of plants","The structure of bacteria","b","Moderate","Reading Comprehension"
20,"Directions (11-20): Refer to Passage 2. --- The two main products of photosynthesis are:","Water and carbon dioxide","Chlorophyll and light","Sugars and oxygen","Chloroplasts and glucose","c","Easy","Reading Comprehension"
21,"Directions (21-30): Passage 3: The concept of 'sovereignty' is central to the study of international relations and political science. It refers to the full right and power of a governing body over itself, without any interference from outside sources or bodies. In political theory, sovereignty is a substantive term designating supreme authority over some polity. It is a foundational principle of the modern state system. However, in an increasingly globalized world, the notion of absolute sovereignty is being challenged. International organizations like the United Nations, multinational corporations with vast economic power, and transnational issues like climate change and terrorism, all place constraints on a state's ability to act independently. This has led to a debate about whether the traditional model of sovereignty is becoming obsolete. --- What is the best definition of sovereignty according to the passage?","The economic power of a nation","A system of international law","Supreme authority of a state over itself","The influence of international organizations","c","Easy","Reading Comprehension"
22,"Directions (21-30): Refer to Passage 3. --- The passage states that sovereignty is a foundational principle of what?","Ancient empires","The modern state system","Globalized economies","Political parties","b","Easy","Reading Comprehension"
23,"Directions (21-30): Refer to Passage 3. --- Which of the following is mentioned as a challenge to state sovereignty?","Nationalism","Local governments","Multinational corporations","Political elections","c","Moderate","Reading Comprehension"
24,"Directions (21-30): Refer to Passage 3. --- The word 'obsolete' in the final sentence means:","Highly respected","Out of date or no longer used","Extremely powerful","Difficult to achieve","b","Moderate","Reading Comprehension"
25,"Directions (21-30): Refer to Passage 3. --- Why does the author mention climate change and terrorism?","As examples of successful international cooperation","As issues that can strengthen a state's sovereignty","As examples of purely domestic problems","As transnational issues that constrain a state's independence","d","Moderate","Reading Comprehension"
26,"Directions (21-30): Refer to Passage 3. --- What is the main idea of the passage?","Sovereignty is a concept that has never been successfully implemented.","The traditional concept of state sovereignty is facing challenges in the modern world.","International organizations should have supreme authority over states.","Globalization has no effect on the power of individual states.","b","Moderate","Reading Comprehension"
27,"Directions (21-30): Refer to Passage 3. --- The passage implies that in the past, a state's sovereignty was considered more:","Limited","Absolute","Irrelevant","Economical","b","Difficult","Reading Comprehension"
28,"Directions (21-30): Refer to Passage 3. --- The author's tone is best described as:","Argumentative and biased","Analytical and objective","Enthusiastic and celebratory","Pessimistic and dismissive","b","Moderate","Reading Comprehension"
29,"Directions (21-30): Refer to Passage 3. --- The term 'polity' in the passage refers to:","A specific government policy","A form or process of civil government or constitution","A polite and courteous person","A political campaign","b","Difficult","Reading Comprehension"
30,"Directions (21-30): Refer to Passage 3. --- The debate mentioned at the end of the passage is about:","The definition of globalization","The economic power of corporations","The future and relevance of state sovereignty","The structure of the United Nations","c","Easy","Reading Comprehension"
31,"Directions (31-40): Passage 4: The development of antibiotics in the 20th century was a watershed moment in medicine, transforming the treatment of bacterial infections and saving countless lives. Alexander Fleming's discovery of penicillin in 1928 was a serendipitous accident, but it paved the way for the age of antibiotics. These drugs work by either killing bacteria (bactericidal) or inhibiting their growth (bacteriostatic). However, the overuse and misuse of antibiotics have led to a critical global health crisis: antibiotic resistance. Bacteria can evolve to become resistant to drugs, rendering them ineffective. This means common infections could once again become deadly. Combating this threat requires responsible antibiotic stewardship, including prescribing them only when necessary, and the development of new antimicrobial treatments. --- What does the passage describe as a 'watershed moment' in medicine?","The discovery of vitamins","The development of antibiotics","The invention of the microscope","The understanding of viruses","b","Easy","Reading Comprehension"
32,"Directions (31-40): Refer to Passage 4. --- Who discovered penicillin?","Marie Curie","Louis Pasteur","Alexander Fleming","Jonas Salk","c","Easy","Reading Comprehension"
33,"Directions (31-40): Refer to Passage 4. --- What is the primary cause of antibiotic resistance?","The high cost of drugs","The slow action of antibiotics","The evolution of viruses","The overuse and misuse of antibiotics","d","Easy","Reading Comprehension"
34,"Directions (31-40): Refer to Passage 4. --- A 'bacteriostatic' antibiotic is one that:","Kills bacteria","Inhibits the growth of bacteria","Causes bacterial infections","Has no effect on bacteria","b","Moderate","Reading Comprehension"
35,"Directions (31-40): Refer to Passage 4. --- The word 'serendipitous' means:","Occurring by a fortunate accident","Carefully planned and executed","Harmful and dangerous","Expected and predictable","a","Moderate","Reading Comprehension"
36,"Directions (31-40): Refer to Passage 4. --- What is the major global health crisis mentioned in the passage?","The rise of viral pandemics","The problem of antibiotic resistance","The lack of access to clean water","The prevalence of chronic diseases","b","Easy","Reading Comprehension"
37,"Directions (31-40): Refer to Passage 4. --- 'Antibiotic stewardship' refers to:","The manufacturing process of antibiotics","The responsible use of antibiotics","The pricing and sale of antibiotics","The discovery of new types of bacteria","b","Moderate","Reading Comprehension"
38,"Directions (31-40): Refer to Passage 4. --- What is a potential consequence of widespread antibiotic resistance?","Antibiotics will become cheaper","Common infections could become fatal again","Viruses will be easier to treat","All bacteria will be eliminated","b","Moderate","Reading Comprehension"
